Index,Time,openloop_spd_ref,openloop_spd_fdb
23591,23.591182,4442.3667,2.19724751
23592,23.592205,4404.2627,2.19724751
23593,23.593194,4365.64453,2.19724751
23594,23.594185,4326.70117,2.19724751
23595,23.59518,4287.31006,2.23879266
23596,23.596179,4247.60254,2.28672957
23597,23.597182,4207.45361,2.28672957
23598,23.598181,4166.99609,2.28672957
23599,23.599184,4126.16895,2.28672957
23600,23.600183,4084.90942,2.28672957
23601,23.601178,4043.42187,2.28672957
23602,23.602184,4001.44067,2.31336117
23603,23.603207,3959.17236,2.31336117
23604,23.604194,3916.48389,2.31336117
23605,23.605185,3873.51685,2.31336117
23606,23.60618,3830.13623,2.31336117
23607,23.607179,3786.48584,2.35277605
23608,23.608182,3742.42847,2.38792968
23609,23.609181,3698.18237,2.38792968
23610,23.610184,3653.46436,2.38792968
23611,23.611183,3608.49463,2.38792968
23612,23.612179,3563.13135,2.38792968
23613,23.613182,3517.52539,2.38792968
23614,23.614216,3471.60767,2.41349602
23615,23.615182,3425.30713,2.41349602
23616,23.616179,3378.77759,2.41349602
23617,23.617178,3331.87256,2.41349602
23618,23.618264,3284.82446,2.41349602
23619,23.619183,3237.33179,2.44971514
23620,23.62018,3189.62891,2.45930243
23621,23.621179,3141.56543,2.45930243
23622,23.622183,3093.30078,2.45930243
23623,23.623178,3044.68335,2.45930243
23624,23.624182,2995.87427,2.45930243
23625,23.625194,2946.71997,2.45930243
23626,23.626185,2897.46411,2.46995521
23627,23.627182,2847.79102,2.46995521
23628,23.628181,2797.94556,2.46995521
23629,23.629185,2747.77075,2.46995521
23630,23.630184,2697.43359,2.46995521
23631,23.631181,2646.85718,2.48806453
23632,23.63218,2595.96362,2.5104351
23633,23.633179,2544.92212,2.5104351
23634,23.634179,2493.57178,2.5104351
23635,23.635198,2442.16699,2.5104351
23636,23.636181,2390.37842,2.5104351
23637,23.637178,2338.46167,2.5104351
23638,23.638185,2286.25317,2.50617409
23639,23.639181,2233.92603,2.50617409
23640,23.640181,2233.92603,2.50617409
23641,23.641185,2128.59717,2.50617409
23642,23.642183,2075.604,2.50617409
23643,23.64318,2022.51233,2.50723934
23644,23.644178,1969.24146,2.51682687
23645,23.645193,1915.79602,2.51682687
23646,23.646183,1862.18079,2.51682687
23647,23.647179,1808.31323,2.51682687
23648,23.648178,1754.37244,2.51682687
23649,23.649181,1700.18823,2.51682687
23650,23.65018,1645.94104,2.52108788
23651,23.651183,1591.45959,2.52108788
23652,23.652181,1537.01367,2.52108788
23653,23.653179,1482.25439,2.52108788
23654,23.654178,1427.45239,2.52108788
23655,23.655197,1372.43469,2.52747941
23656,23.65618,1317.38428,2.50936985
23657,23.657184,1262.12756,2.50936985
23658,23.658182,1206.84839,2.50936985
23659,23.659185,1151.37231,2.50936985
23660,23.660184,1095.88379,2.50936985
23661,23.661179,1040.29822,2.50936985
23662,23.662178,984.620483,2.50404358
23663,23.663184,928.855408,2.50404358
23664,23.664183,872.91748,2.50404358
23665,23.665178,816.992615,2.50404358
23666,23.666249,760.90448,2.50404358
23667,23.667184,704.839661,2.49552155
23668,23.66818,648.621277,2.49232578
23669,23.669178,592.436401,2.49232578
23670,23.670181,536.198975,2.49232578
23671,23.67118,479.914001,2.49232578
23672,23.672183,423.495209,2.49232578
23673,23.673185,367.130127,2.49232578
23674,23.67418,310.641052,2.47208571
23675,23.675179,254.215836,2.47208571
23676,23.676182,197.67659,2.47208571
23677,23.677206,141.211288,2.47208571
23678,23.678198,84.7334824,2.47208571
23679,23.679195,28.2481575,2.44651937
23680,23.680178,-28.2396717,2.43373609
23681,23.681182,-28.2396717,2.43373609
23682,23.682182,-141.294342,2.43373609
23683,23.683181,-197.85112,2.43373609
23684,23.68418,-254.298828,2.43373609
23685,23.685184,-310.81543,2.43373609
23686,23.686184,-367.213013,2.40497398
23687,23.68718,-423.578064,2.40497398
23688,23.6882,-479.905548,2.40497398
23689,23.689183,-536.281677,2.40497398
23690,23.69018,-592.519043,2.40497398
23691,23.691179,-648.794922,2.38366866
23692,23.692183,-704.922119,2.3517108
23693,23.693178,-761.077698,2.3517108
23694,23.694182,-817.07489,2.3517108
23695,23.695181,-873.09021,2.3517108
23696,23.696185,-928.847046,2.3517108
23697,23.697185,-984.612122,2.3517108
23698,23.69823,-1040.38013,2.30483913
23699,23.699181,-1095.96545,2.30483913
23700,23.700178,-1151.5437,2.30483913
23701,23.701185,-1206.92969,2.30483913
23702,23.702181,-1262.29834,2.30483913
23703,23.703184,-1317.46533,2.27820754
23704,23.70418,-1372.5155,2.22281384
23705,23.705179,-1427.44421,2.22281384
23706,23.706183,-1482.33496,2.22281384
23707,23.707182,-1537.00537,2.22281384
23708,23.708184,-1591.62793,2.22281384
23709,23.709224,-1646.02087,2.22281384
23710,23.710185,-1700.35571,2.17594218
23711,23.711181,-1754.45178,2.17594218
23712,23.712179,-1808.39246,2.17594218
23713,23.713185,-1862.17273,2.17594218
23714,23.714184,-1915.78796,2.17594218
23715,23.715179,-1969.31982,2.10243893
23716,23.716178,-2022.59045,2.03426194
23717,23.71718,-2075.76782,2.03426194
23718,23.718179,-2128.6748,2.03426194
23719,23.719182,-2181.47852,2.03426194
23720,23.720181,-2234.00317,2.03426194
23721,23.721198,-2286.41455,2.03426194
23722,23.722181,-2338.45386,1.99058628
23723,23.723179,-2390.45459,1.99058628
23724,23.724178,-2442.15918,1.99058628
23725,23.725181,-2493.73071,1.99058628
23726,23.72618,-2544.99731,1.99058628
23727,23.727183,-2596.12109,1.92773569
23728,23.728181,-2646.93164,1.86168921
23729,23.729185,-2697.50781,1.86168921
23730,23.730183,-2747.84473,1.86168921
23731,23.731214,-2797.93799,1.86168921
23732,23.732318,-2847.86401,1.86168921
23733,23.733184,-2897.45654,1.86168921
23734,23.73418,-2946.87207,1.74877119
23735,23.735179,-2995.94629,1.74877119
23736,23.736182,-3044.83374,1.74877119
23737,23.73718,-3093.37207,1.74877119
23738,23.738184,-3141.71411,1.74877119
23739,23.739182,-3189.62183,1.68485534
23740,23.740185,-3237.40186,1.6305269
23741,23.741184,-3284.81738,1.6305269
23742,23.742179,-3332.01782,1.6305269
23743,23.743194,-3378.84644,1.6305269
23744,23.744186,-3425.37549,1.6305269
23745,23.745182,-3471.67554,1.6305269
23746,23.746182,-3517.59277,1.56448042
23747,23.747185,-3563.19824,1.56448042
23748,23.748185,-3608.48779,1.56448042
23749,23.749181,-3653.53027,1.56448042
23750,23.750181,-3698.17578,1.56448042
23751,23.751185,-3742.56494,1.46541083
23752,23.752184,-3786.55029,1.35462332
23753,23.753193,-3830.27051,1.35462332
23754,23.754185,-3873.58032,1.35462332
23755,23.755182,-3916.61621,1.35462332
23756,23.756181,-3959.16602,1.35462332
23757,23.757185,-4001.50244,1.35462332
23758,23.758184,-4043.41553,1.26620638
23759,23.759181,-4085.03735,1.26620638
23760,23.76018,-4126.22949,1.26620638
23761,23.761184,-4167.05566,1.26620638
23762,23.762184,-4207.57812,1.26620638
23763,23.763183,-4247.66113,1.19376838
23764,23.764207,-4287.43213,1.08404613
23765,23.765197,-4326.69531,1.08404613
23766,23.766181,-4365.70117,1.08404613
23767,23.767185,-4404.25732,1.08404613
23768,23.768185,-4442.48437,1.08404613
23769,23.769181,-4480.25537,1.08404613
23770,23.77018,-4517.68945,0.980715454
23771,23.771184,-4554.66211,0.980715454
23772,23.772184,-4591.29053,0.980715454
23773,23.773181,-4627.39355,0.980715454
23774,23.774179,-4663.20312,0.980715454
23775,23.775182,-4698.5415,0.849687934
23776,23.77622,-4733.46289,0.754879415
23777,23.777184,-4768.02051,0.754879415
23778,23.77818,-4802.09961,0.754879415
23779,23.779179,-4835.80664,0.754879415
23780,23.780182,-4869.03076,0.754879415
23781,23.78118,-4901.87549,0.754879415
23782,23.782183,-4934.18066,0.689898252
23783,23.783185,-4966.15234,0.689898252
23784,23.78418,-4997.63184,0.689898252
23785,23.785195,-4997.63184,0.689898252
23786,23.786178,-5059.30859,0.689898252
23787,23.787253,-5089.49902,0.56845814
23788,23.788182,-5119.18848,0.468323261
23789,23.78918,-5148.47168,0.468323261
23790,23.790184,-5177.25098,0.468323261
23791,23.791183,-5205.5708,0.468323261
23792,23.792178,-5233.42969,0.468323261
23793,23.793179,-5260.82471,0.468323261
23794,23.794182,-5287.79639,0.323447287
23795,23.795181,-5314.25586,0.323447287
23796,23.796184,-5340.28564,0.323447287
23797,23.797183,-5365.79932,0.323447287
23798,23.7982,-5390.87793,0.323447287
23799,23.799183,-5415.39844,0.226508245
23800,23.800178,-5439.51758,0.144482896
23801,23.801185,-5463.11572,0.144482896
23802,23.80218,-5486.26611,0.144482896
23803,23.803182,-5508.89258,0.144482896
23804,23.804185,-5531.06592,0.144482896
23805,23.805183,-5552.71289,0.144482896
23806,23.806179,-5552.71289,0.015585883
23807,23.807185,-5594.56201,0.015585883
23808,23.80825,-5614.72607,0.015585883
23809,23.809182,-5634.39258,0.015585883
23810,23.810182,-5653.55957,0.015585883
23811,23.811178,-5672.25586,-0.099462681
23812,23.812185,-5690.41797,-0.197466999
23813,23.813184,-5708.10449,-0.197466999
23814,23.814184,-5725.25586,-0.197466999
23815,23.81518,-5741.92627,-0.197466999
23816,23.81618,-5758.06006,-0.197466999
23817,23.817183,-5773.68408,-0.197466999
23818,23.818183,-5788.7959,-0.282688171
23819,23.819179,-5803.41797,-0.282688171
23820,23.820196,-5817.50146,-0.282688171
23821,23.821179,-5831.09131,-0.282688171
23822,23.822184,-5844.1416,-0.282688171
23823,23.823179,-5856.69385,-0.372170389
23824,23.824182,-5868.70605,-0.462717861
23825,23.825182,-5880.18018,-0.462717861
23826,23.826178,-5891.16943,-0.462717861
23827,23.827185,-5901.61816,-0.462717861
23828,23.828181,-5911.55957,-0.462717861
23829,23.829181,-5920.96045,-0.462717861
23830,23.830185,-5929.85059,-0.540482163
23831,23.831198,-5938.2002,-0.540482163
23832,23.832182,-5946.03613,-0.540482163
23833,23.833181,-5953.33154,-0.540482163
23834,23.834181,-5960.09912,-0.540482163
23835,23.835184,-5966.33887,-0.651269674
23836,23.836184,-5972.05811,-0.731164515
23837,23.83718,-5977.23877,-0.731164515
23838,23.838179,-5981.89648,-0.731164515
23839,23.839181,-5986.01611,-0.731164515
23840,23.840198,-5989.61035,-0.731164515
23841,23.841206,-5992.66797,-0.731164515
23842,23.842196,-5995.19385,-0.806798279
23843,23.843182,-5997.18896,-0.806798279
23844,23.844185,-5998.65186,-0.806798279
23845,23.845184,-5999.58447,-0.806798279
23846,23.846179,-5999.9834,-0.806798279
23847,23.847178,-5999.84961,-0.889888942
23848,23.848181,-5999.18408,-0.977240622
23849,23.84918,-5997.98437,-0.977240622
23850,23.850183,-5996.25439,-0.977240622
23851,23.851182,-5993.99316,-0.977240622
23852,23.852185,-5991.20068,-0.977240622
23853,23.853197,-5987.87109,-0.977240622
23854,23.854183,-5984.01611,-1.06352699
23855,23.855178,-5979.62305,-1.06352699
23856,23.856185,-5974.70654,-1.06352699
23857,23.85718,-5969.25098,-1.06352699
23858,23.858179,-5963.2749,-1.06352699
23859,23.859182,-5956.77051,-1.14235651
23860,23.86018,-5949.73779,-1.22331667
23861,23.861183,-5942.17773,-1.22331667
23862,23.862182,-5934.07764,-1.22331667
23863,23.86318,-5925.46436,-1.22331667
23864,23.864198,-5916.31055,-1.22331667
23865,23.865181,-5906.64648,-1.22331667
23866,23.866184,-5896.44238,-1.29255879
23867,23.867183,-5885.73145,-1.29255879
23868,23.868178,-5874.47998,-1.29255879
23869,23.869185,-5862.74561,-1.29255879
23870,23.87018,-5850.45215,-1.29255879
23871,23.871179,-5837.66016,-1.35860527
23872,23.872182,-5824.32812,-1.44276106
23873,23.873184,-5810.50146,-1.44276106
23874,23.87418,-5796.15967,-1.44276106
23875,23.875232,-5781.27979,-1.44276106
23876,23.876179,-5765.91064,-1.44276106
23877,23.877183,-5750.03076,-1.44276106
23878,23.878183,-5733.64111,-1.51839483
23879,23.879179,-5716.71582,-1.51839483
23880,23.880178,-5699.31055,-1.51839483
23881,23.881182,-5681.37061,-1.51839483
23882,23.882182,-5662.95557,-1.51839483
23883,23.883181,-5644.00781,-1.58976758
23884,23.88418,-5624.59033,-1.64835715
23885,23.885184,-5604.64111,-1.64835715
23886,23.886184,-5584.26074,-1.64835715
23887,23.887199,-5563.31836,-1.64835715
23888,23.888182,-5541.91602,-1.64835715
23889,23.889178,-5519.9873,-1.64835715
23890,23.890178,-5497.604,-1.70801198
23891,23.891182,-5474.7334,-1.70801198
23892,23.892181,-5451.33936,-1.70801198
23893,23.893195,-5427.49951,-1.70801198
23894,23.894179,-5403.17871,-1.70801198
